iter	Passed	Remaining
0	5	5821
1	10	5398
2	24	8081
3	33	8346
4	42	8550
5	50	8311
6	53	7540
7	57	7158
8	62	6907
9	69	6867
10	72	6554
11	80	6636
12	84	6439
13	90	6376
14	94	6213
15	100	6190
16	103	5967
17	108	5905
18	111	5760
19	116	5684
20	125	5850
21	132	5909
22	140	5967
23	146	5966
24	156	6104
25	161	6053
26	169	6111
27	176	6133
28	178	5992
29	185	5991
30	191	6001
31	196	5959
32	202	5924
33	208	5923
34	214	5901
35	218	5861
36	224	5849
37	231	5871
38	240	5923
39	244	5860
40	249	5826
41	254	5795
42	258	5746
43	264	5741
44	271	5760
45	278	5767
46	283	5755
47	289	5741
48	295	5744
49	298	5678
50	301	5618
51	306	5581
52	307	5497
53	319	5593
54	324	5573
55	329	5547
56	333	5520
57	340	5530
58	347	5547
59	354	5549
60	355	5474
61	359	5442
62	365	5431
63	372	5450
64	376	5410
65	379	5374
66	386	5387
67	392	5373
68	396	5355
69	402	5346
70	406	5317
71	409	5273
72	414	5267
73	420	5257
74	423	5228
75	429	5219
76	433	5192
77	437	5169
78	441	5143
79	444	5112
80	450	5115
81	453	5077
82	458	5069
83	462	5048
84	468	5040
85	471	5013
86	477	5007
87	480	4975
88	484	4956
89	487	4931
90	491	4905
91	497	4914
92	504	4924
93	510	4920
94	513	4888
95	517	4870
96	520	4841
97	527	4850
98	529	4820
99	534	4812
100	537	4781
101	540	4761
102	543	4732
103	546	4711
104	551	4699
105	555	4684
106	558	4662
107	561	4637
108	564	4617
109	566	4583
110	569	4559
111	575	4561
112	579	4548
113	582	4529
114	587	4518
115	590	4496
116	595	4494
117	600	4485
118	604	4476
119	607	4455
120	610	4436
121	613	4417
122	618	4410
123	620	4380
124	624	4373
125	630	4374
126	635	4365
127	639	4358
128	646	4366
129	649	4345
130	650	4317
131	655	4310
132	656	4282
133	660	4270
134	664	4257
135	669	4254
136	675	4253
137	679	4244
138	683	4231
139	686	4214
140	689	4199
141	692	4185
142	695	4169
143	698	4150
144	702	4141
145	710	4156
146	714	4144
147	718	4133
148	721	4122
149	737	4180
150	740	4166
151	749	4180
152	755	4182
153	761	4181
154	764	4165
155	768	4156
156	776	4168
157	778	4151
158	785	4154
159	788	4141
160	794	4139
161	801	4147
162	805	4135
163	812	4143
164	817	4137
165	828	4161
166	836	4171
167	846	4190
168	850	4180
169	858	4190
170	865	4193
171	872	4198
172	876	4191
173	882	4187
174	888	4190
175	894	4186
176	904	4206
177	916	4233
178	924	4239
179	929	4234
180	935	4232
181	942	4237
182	948	4233
183	954	4234
184	960	4232
185	968	4236
186	973	4231
187	979	4230
188	986	4234
189	990	4224
190	998	4228
191	1005	4231
192	1010	4225
193	1014	4215
194	1022	4219
195	1029	4222
196	1036	4223
197	1040	4214
198	1047	4216
199	1051	4207
200	1057	4204
201	1062	4197
202	1067	4190
203	1071	4182
204	1077	4179
205	1084	4181
206	1086	4163
207	1094	4168
208	1096	4151
209	1100	4141
210	1107	4141
211	1114	4140
212	1117	4130
213	1123	4127
214	1134	4141
215	1145	4157
216	1152	4158
217	1159	4158
218	1172	4183
219	1191	4224
220	1201	4236
221	1205	4223
222	1208	4209
223	1210	4192
224	1213	4179
225	1215	4163
226	1218	4149
227	1221	4136
228	1224	4123
229	1227	4108
230	1229	4093
231	1231	4077
232	1233	4061
233	1236	4046
234	1238	4032
235	1241	4018
236	1244	4005
237	1248	3996
238	1253	3990
239	1260	3992
240	1265	3985
241	1273	3990
242	1280	3988
243	1287	3989
244	1293	3987
245	1299	3984
246	1304	3977
247	1310	3972
248	1317	3975
249	1322	3967
250	1331	3971
251	1338	3973
252	1343	3966
253	1350	3965
254	1357	3966
255	1362	3960
256	1370	3961
257	1375	3954
258	1388	3971
259	1392	3962
260	1399	3962
261	1405	3957
262	1410	3953
263	1414	3943
264	1421	3942
265	1426	3936
266	1437	3945
267	1445	3948
268	1457	3960
269	1469	3974
270	1476	3971
271	1482	3968
272	1487	3961
273	1494	3959
274	1498	3951
275	1503	3943
276	1511	3946
277	1522	3954
278	1530	3955
279	1535	3948
280	1538	3935
281	1543	3929
282	1547	3920
283	1552	3913
284	1556	3903
285	1561	3899
286	1568	3896
287	1573	3889
288	1577	3881
289	1585	3881
290	1587	3867
291	1588	3852
292	1594	3846
293	1599	3839
294	1603	3833
295	1613	3837
296	1618	3830
297	1623	3824
298	1627	3816
299	1633	3811
300	1639	3806
301	1642	3796
302	1648	3792
303	1650	3779
304	1655	3772
305	1661	3769
306	1664	3757
307	1666	3744
308	1675	3747
309	1681	3741
310	1688	3739
311	1690	3728
312	1696	3723
313	1700	3715
314	1706	3711
315	1710	3703
316	1717	3700
317	1721	3691
318	1723	3679
319	1730	3677
320	1734	3669
321	1739	3662
322	1741	3651
323	1750	3651
324	1755	3646
325	1760	3640
326	1766	3635
327	1773	3632
328	1776	3623
329	1783	3620
330	1796	3631
331	1803	3629
332	1810	3625
333	1815	3620
334	1823	3620
335	1829	3615
336	1836	3612
337	1841	3606
338	1848	3603
339	1852	3595
340	1858	3591
341	1868	3595
342	1884	3608
343	1893	3609
344	1902	3612
345	1912	3614
346	1918	3609
347	1923	3603
348	1932	3604
349	1937	3598
350	1944	3594
351	1950	3590
352	1956	3585
353	1961	3578
354	1966	3573
355	1972	3568
356	1980	3567
357	1990	3570
358	2001	3574
359	2009	3572
360	2019	3574
361	2025	3569
362	2034	3569
363	2040	3565
364	2046	3560
365	2054	3558
366	2060	3554
367	2070	3556
368	2077	3553
369	2085	3551
370	2091	3546
371	2096	3539
372	2101	3532
373	2107	3527
374	2113	3522
375	2117	3514
376	2124	3511
377	2129	3504
378	2136	3500
379	2141	3494
380	2146	3487
381	2153	3483
382	2157	3475
383	2165	3473
384	2168	3464
385	2174	3459
386	2181	3455
387	2186	3448
388	2192	3444
389	2196	3436
390	2203	3432
391	2210	3429
392	2215	3422
393	2222	3417
394	2227	3411
395	2234	3407
396	2241	3405
397	2246	3397
398	2254	3395
399	2258	3387
400	2265	3384
401	2269	3376
402	2274	3368
403	2280	3363
404	2283	3355
405	2287	3346
406	2293	3341
407	2296	3332
408	2299	3322
409	2302	3312
410	2305	3303
411	2307	3293
412	2310	3283
413	2313	3274
414	2315	3264
415	2319	3255
416	2327	3254
417	2336	3253
