iter	Passed	Remaining
0	5	5015
1	6	3423
2	8	2920
3	10	2551
4	12	2408
5	14	2332
6	15	2249
7	18	2253
8	20	2261
9	22	2260
10	25	2300
11	28	2320
12	29	2245
13	33	2358
14	35	2301
15	37	2279
16	39	2268
17	40	2220
18	43	2234
19	45	2226
20	46	2189
21	48	2162
22	50	2140
23	52	2127
24	54	2131
25	56	2125
26	59	2136
27	62	2156
28	63	2127
29	68	2220
30	71	2231
31	74	2263
32	78	2298
33	80	2299
34	84	2328
35	88	2379
36	92	2407
37	95	2418
38	97	2407
39	102	2453
40	106	2491
41	109	2504
42	111	2484
43	114	2481
44	118	2507
45	121	2517
46	123	2510
47	125	2484
48	128	2498
49	132	2522
50	134	2502
51	135	2478
52	137	2458
53	142	2491
54	145	2504
55	147	2491
56	150	2486
57	154	2511
58	158	2534
59	161	2523
60	163	2515
61	168	2545
62	172	2565
63	176	2577
64	177	2560
65	183	2589
66	190	2653
67	198	2715
68	204	2753
69	207	2758
70	210	2755
71	212	2740
72	214	2718
73	216	2705
74	217	2684
75	220	2679
76	223	2683
77	225	2666
78	228	2658
79	229	2641
80	232	2638
81	235	2632
82	237	2623
83	238	2605
84	242	2608
85	243	2592
86	245	2574
87	247	2568
88	250	2563
89	256	2596
90	257	2576
91	262	2592
92	264	2583
93	268	2591
94	270	2577
95	275	2597
96	283	2636
97	286	2632
98	290	2640
99	294	2647
100	297	2645
101	300	2644
102	302	2638
103	307	2649
104	315	2686
105	322	2717
106	329	2750
107	336	2783
108	347	2841
109	354	2867
110	366	2933
111	377	2990
112	378	2972
113	381	2962
114	384	2962
115	389	2969
116	393	2968
117	395	2956
118	401	2972
119	402	2951
120	414	3009
121	419	3020
122	423	3019
123	429	3036
124	434	3038
125	435	3019
126	447	3076
127	448	3056
128	456	3084
129	463	3102
130	468	3108
131	479	3153
132	483	3151
133	489	3162
134	501	3215
135	506	3220
136	513	3233
137	517	3230
138	524	3248
139	531	3263
140	537	3273
141	542	3280
142	550	3299
143	557	3313
144	564	3330
145	566	3312
146	573	3327
147	590	3399
148	597	3413
149	612	3473
150	614	3453
151	623	3477
152	624	3456
153	627	3448
154	628	3428
155	642	3478
156	644	3458
157	654	3485
158	660	3495
159	668	3511
160	677	3532
161	686	3548
162	690	3545
163	696	3552
164	703	3557
165	708	3559
166	714	3565
167	721	3572
168	726	3572
169	732	3577
170	738	3580
171	740	3564
172	755	3609
173	763	3624
174	765	3610
175	775	3628
176	783	3643
177	788	3640
178	790	3627
179	795	3625
180	797	3607
181	803	3609
182	808	3607
183	812	3602
184	813	3585
185	816	3571
186	817	3555
187	822	3553
188	824	3537
189	826	3523
190	828	3507
191	829	3490
192	833	3486
193	835	3471
194	837	3455
195	838	3441
196	841	3428
197	844	3421
198	848	3416
199	851	3404
200	852	3389
201	854	3374
202	855	3359
203	858	3349
204	859	3334
205	862	3322
206	863	3308
207	865	3294
208	867	3282
209	869	3270
210	873	3267
211	876	3256
212	877	3242
213	888	3262
214	895	3270
215	905	3286
216	912	3290
217	916	3287
218	921	3285
219	924	3277
220	929	3277
221	934	3274
222	935	3260
223	940	3258
224	942	3246
225	944	3233
