date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
1946-11-01,1947,0,,TRH,NYK,1300.0,1300.0,0.6400649998028851,0.3599350001971149,1293.2767,1306.7233,,,,,,,,,,,66,68,0,"",""
1946-11-02,1947,0,,PRO,BOS,1300.0,1300.0,0.6400649998028851,0.3599350001971149,1305.1542,1294.8458,,,,,,,,,,,59,53,0,"",""
1946-11-02,1947,0,,STB,PIT,1300.0,1300.0,0.6400649998028851,0.3599350001971149,1304.6908,1295.3092,,,,,,,,,,,56,51,0,"",""
1946-11-02,1947,0,,CHS,NYK,1300.0,1306.7233,0.6311011927856423,0.36889880721435775,1309.6521,1297.0712,,,,,,,,,,,63,47,0,"",""
1946-11-02,1947,0,,DTF,WSC,1300.0,1300.0,0.6400649998028851,0.3599350001971149,1279.6189,1320.3811,,,,,,,,,,,33,50,0,"",""
1946-11-03,1947,0,,CLR,TRH,1300.0,1293.2767,0.6489321597920658,0.35106784020793425,1307.1233,1286.1534,,,,,,,,,,,71,60,0,"",""
1946-11-04,1947,0,,PIT,WSC,1295.3092,1320.3811,0.6061890227764349,0.39381097722356506,1277.9456,1337.7448,,,,,,,,,,,56,71,0,"",""
1946-11-05,1947,0,,DTF,STB,1279.6189,1304.6908,0.6061890227764349,0.39381097722356506,1271.4624,1312.8473,,,,,,,,,,,49,53,0,"",""
1946-11-05,1947,0,,BOS,CHS,1294.8458,1309.6521,0.6202040398972528,0.3797959601027472,1288.4139,1316.084,,,,,,,,,,,55,57,0,"",""
1946-11-07,1947,0,,PHW,PIT,1300.0,1277.9456,0.6687643288713905,0.3312356711286095,1304.667,1273.2786,,,,,,,,,,,81,75,0,"",""
1946-11-07,1947,0,,PRO,CHS,1305.1542,1316.084,0.625446064761835,0.37455393523816505,1311.5032,1309.735,,,,,,,,,,,73,65,0,"",""
1946-11-07,1947,0,,STB,NYK,1312.8473,1297.0712,0.6607102218165188,0.33928977818348116,1302.5988,1307.3197,,,,,,,,,,,63,68,0,"",""
1946-11-08,1947,0,,TRH,DTF,1286.1534,1271.4624,0.6593085638988059,0.3406914361011941,1289.1691,1268.4468,,,,,,,,,,,73,71,0,"",""
