iter	Passed	Remaining
0	4	4159
1	5	2842
2	7	2384
3	11	2957
4	14	2819
5	17	2831
6	18	2627
7	21	2630
8	23	2574
9	25	2524
10	30	2728
11	34	2857
12	36	2742
13	37	2648
14	42	2804
15	45	2793
16	46	2712
17	50	2757
18	55	2843
19	57	2834
20	62	2894
21	67	3004
22	69	2973
23	72	2952
24	74	2903
25	75	2843
26	80	2885
27	83	2886
28	87	2923
29	90	2923
30	96	3022
31	104	3157
32	113	3324
33	116	3308
34	118	3253
35	122	3280
36	125	3275
37	130	3298
38	133	3300
39	135	3252
40	137	3227
41	139	3183
42	145	3237
43	154	3348
44	158	3367
45	165	3425
46	171	3484
47	175	3474
48	182	3537
49	186	3542
50	190	3537
51	193	3521
52	197	3536
53	203	3565
54	205	3522
55	207	3491
56	209	3468
57	211	3433
58	213	3397
59	214	3365
60	216	3332
61	219	3317
62	223	3317
63	225	3292
64	226	3259
65	229	3247
66	232	3231
67	238	3262
68	241	3257
69	243	3231
70	251	3286
71	252	3260
72	255	3248
73	257	3219
74	258	3192
75	260	3169
76	263	3156
77	265	3139
78	269	3146
79	274	3151
80	275	3125
81	278	3112
82	282	3118
83	285	3117
84	289	3111
85	291	3100
86	295	3100
87	299	3102
88	303	3106
89	304	3083
90	308	3081
91	310	3064
92	312	3049
93	315	3040
94	318	3033
95	322	3033
96	324	3024
97	328	3021
98	329	3001
99	331	2985
100	334	2973
101	335	2954
102	338	2949
103	343	2960
104	349	2981
105	351	2962
106	361	3013
107	365	3020
108	369	3019
109	373	3021
110	374	3002
111	379	3006
112	380	2987
113	382	2972
114	383	2953
115	384	2932
116	387	2924
117	388	2906
118	389	2886
119	391	2867
120	391	2847
121	400	2885
122	414	2958
123	418	2957
124	423	2961
125	426	2957
126	431	2963
127	433	2953
128	435	2937
129	436	2919
130	437	2900
131	439	2890
132	440	2874
133	442	2857
134	443	2840
135	448	2848
136	450	2835
137	451	2820
138	452	2805
139	454	2790
140	455	2776
141	457	2761
142	458	2747
143	465	2766
144	470	2772
145	473	2771
146	477	2773
147	479	2760
148	485	2770
149	488	2768
150	496	2789
151	497	2775
152	503	2786
153	510	2806
154	513	2799
155	514	2785
156	520	2795
157	526	2805
158	531	2811
159	536	2814
160	539	2811
161	544	2816
162	546	2807
163	548	2797
164	554	2806
165	555	2793
166	562	2804
167	565	2800
168	566	2787
169	570	2784
170	576	2795
171	585	2817
172	586	2805
173	592	2814
174	596	2812
175	601	2814
176	606	2818
177	607	2806
178	614	2817
179	620	2826
180	624	2823
181	628	2825
182	632	2824
183	636	2824
184	641	2826
185	643	2814
186	648	2820
187	652	2820
188	657	2820
189	660	2817
190	663	2811
191	667	2810
192	671	2809
193	673	2800
194	677	2798
195	680	2791
196	687	2800
197	691	2801
198	693	2792
199	699	2797
200	701	2790
201	706	2789
202	712	2795
203	714	2789
204	719	2791
205	723	2786
206	726	2782
207	731	2784
208	737	2790
209	738	2778
210	750	2805
211	751	2793
212	753	2782
213	754	2770
214	755	2759
215	757	2748
216	758	2738
217	760	2727
218	761	2716
219	763	2705
220	764	2695
221	765	2684
222	783	2731
223	786	2726
224	793	2733
225	795	2724
226	799	2722
227	803	2721
228	809	2725
229	811	2718
230	817	2721
231	819	2714
232	824	2715
233	828	2711
234	833	2713
235	839	2717
236	843	2717
237	849	2721
238	850	2709
239	853	2703
240	856	2698
241	857	2687
242	859	2677
243	862	2671
244	863	2660
245	864	2649
246	865	2639
247	867	2629
248	868	2619
249	871	2614
250	873	2605
251	875	2598
252	876	2588
253	878	2579
254	879	2570
255	881	2562
256	885	2560
257	891	2563
258	892	2554
259	895	2548
260	896	2539
261	898	2530
262	900	2523
263	902	2514
264	903	2506
265	905	2497
266	909	2496
267	913	2495
268	915	2486
269	917	2479
270	920	2476
271	925	2476
272	929	2474
273	930	2465
274	933	2460
275	938	2460
276	939	2453
277	941	2444
278	944	2440
279	949	2441
280	951	2433
281	955	2432
282	956	2424
283	958	2417
284	960	2409
285	965	2409
286	973	2419
287	976	2415
288	980	2412
289	988	2420
290	995	2425
291	1000	2426
292	1002	2418
293	1003	2410
294	1005	2402
295	1006	2394
296	1012	2396
297	1014	2389
298	1015	2381
299	1017	2373
300	1019	2366
301	1027	2375
302	1030	2369
303	1033	2367
304	1041	2374
305	1043	2366
306	1048	2367
307	1053	2366
308	1055	2361
309	1061	2363
310	1068	2366
311	1071	2363
312	1077	2364
313	1089	2380
314	1099	2390
315	1100	2382
316	1101	2374
317	1106	2372
318	1107	2363
319	1109	2358
320	1113	2354
321	1116	2351
322	1118	2344
323	1121	2339
324	1122	2330
325	1126	2329
326	1133	2333
327	1134	2325
328	1135	2316
329	1137	2308
330	1138	2300
331	1139	2292
332	1165	2334
333	1171	2336
334	1177	2337
335	1179	2330
336	1185	2331
337	1191	2333
338	1196	2333
339	1198	2326
340	1201	2322
341	1203	2315
342	1214	2325
343	1217	2321
344	1222	2320
345	1227	2320
346	1232	2319
347	1234	2312
348	1239	2311
349	1247	2317
350	1251	2314
351	1264	2327
352	1266	2321
353	1268	2314
354	1275	2317
355	1277	2311
356	1286	2317
357	1288	2309
358	1297	2317
359	1299	2309
360	1307	2313
361	1309	2308
362	1314	2306
363	1320	2306
364	1324	2303
365	1328	2301
366	1330	2294
367	1333	2290
368	1335	2283
369	1339	2280
370	1340	2272
371	1342	2266
372	1345	2262
373	1351	2262
374	1353	2255
375	1359	2256
376	1364	2254
377	1370	2255
378	1372	2248
379	1383	2257
380	1390	2259
381	1397	2260
382	1401	2257
383	1405	2255
384	1408	2249
385	1411	2245
386	1413	2238
387	1414	2231
388	1416	2224
389	1418	2218
390	1422	2215
391	1424	2208
392	1426	2204
393	1428	2197
394	1431	2192
395	1433	2186
396	1436	2182
397	1439	2177
398	1440	2169
399	1441	2162
400	1444	2158
401	1447	2153
402	1453	2152
403	1458	2151
404	1463	2150
405	1475	2158
406	1478	2153
407	1484	2154
408	1490	2154
409	1498	2156
410	1502	2152
411	1506	2149
412	1509	2145
413	1512	2141
414	1517	2138
415	1520	2134
416	1521	2127
417	1529	2128
418	1530	2122
419	1535	2120
420	1538	2115
421	1541	2111
422	1545	2108
423	1547	2101
424	1548	2094
425	1551	2089
426	1554	2085
427	1557	2081
428	1559	2075
429	1562	2071
430	1565	2066
431	1566	2060
432	1573	2059
433	1577	2057
434	1578	2050
435	1587	2053
436	1588	2047
437	1592	2042
438	1595	2038
439	1598	2034
